id,reviews,target
37,양도 많아서 가족들이 쓰기에 적절하고 펌핑식이라 너무 편하고 위생적이에요~ 세정력도 좋아요~:),5
38,"충전이 안되서 사실 그냥 방치중,,,",2
39,좋네요 성인6명이앉기딱일듯요 색상도 괜찮고 다리도 튼튼하네요,5
40,이상한 모양이 찍혀 나와요 제 프린터의 문제인줄 알았는데 다른 사람도 똑같은 모양이 찍혀 나오네요.. 벌레모양처럼.;,1
41,양이 너무 적어요 밖에서 사먹는게 더 쌀듯,1
42,양념통5개 오일병5개 주문했는데 양념통 뚜껑하나가 스텐마감이 안되어있어서 검지손가락에 찔려서 피가 났네요 짜증나서 다 환불하고 클레임걸려다 다른제품은 이상없고 당장 쓸일이있어서 그냥 넘어갑니다 스텐마감 잘 확인바랍니다.,1
43,굳 ~ 잘 늘어나고 모양대로 잘 붙어요~ 한달째 문제 없이 사용중입니다 ㅋ,5
44,양도 꽤 있고 상태가 좋고 깨끗해요,5
45,아이가 머리를 흔들면 바로 풀려요,2
46,포장문제 펜촉끝이 갈려 있습니다. 검수 확인 하셔야할듯해요. 반품하려다 버립니다.,1
47,라벨붙여주세요,2
48,재구매 좋어요좋아요네네네요,5
49,시야확보가 잘안되는거 제외하곤 무난해요.,2
50,잘샀습니다 감사해용^^,5
51,빠르게 배송왔습니다 잘 사용하겠습니다,5
52,편안하고 가벼운데 밑위가 너무 길게 나온제품 같아요,2
53,재구매 깔끔하네요 말할필요 없어요,5
54,간편하고 성능 좋아요! 휴대 강추합니다~~,5
55,"온도가 너무 빨리 반응해서, 정확하게 체크가 어려움.",2
56,다른 저렴히 제품에 비해 한장씩 잘 뽑혀요,5
57,재구매 생각보다 치수가 작아요 저번건 안그랬는데,1
58,어ㅓ러러러ㅓ라라라ㅏ탸ㅏ아아ㅏ아,1
59,좋아요 여름에는 속옷입고 나시입고 하면 너무 더운데이 나시는 안에 캡이 있어서 따로 속옷 안입어도 되고 편하고 좋네요,4
60,빨대가 안으로 들어가요,2
61,좋습니다 평범해용,5
62,그저그래요두껑덮개약해요,2
63,포장도 꼼꼼히 너무 잘 해주셔서 선물받는 기분이여습니다. 감사해요. 번창하세요~~^^,5
64,죄송하지만 저는 진짜 맛없어요ㅜㅜ 게장. 새우장 엄청 좋아하는데... 한알 맛보고 다 버렸네요ㅠㅠ,1
65,디자인도좋고편하게쓸수있습니다,5
66,가볍고 폭신하고 예뻐요^^ 베이지샀는데 이뻐서 블랙구매했어요^^9,5
67,사업번창하라고 지인에게 선물하니 좋아하네,5
68,가방과 구성품은 좋은데 물조리개가 꺼내자마자 두동강났어요,2
69,응 그래 고마워 덕분에 오랜 잠에서 깨어난 상황을 그리며 스토리 전개에 박차를 가했다 상해라고 볼 수도 있다 내가,1
70,배송도 빠르고 아이가 색깔이랑 쓰기에도 편하다고 하네요,4
71,색깔이 어두워서 별로,2
72,깔끔하네요 수납도 적당하고 근데 튼튼해보이진않아요 그래도 싼마이로 당분간은 잘쓰겠어요,5
73,솔직히 기본사은품 안장이랑 별차이를 못느끼겠음,2
74,생각보다 맛이 별로라,1
75,진짜 심하네요 이걸 이불이라고 팔면 어케합니까? 천조가리 팔면서 미안하지않나요? 반품비가 더 들어서 구매확정합니다..,2
76,한치의 오차도 없는 깔끔한 박스포장으로 안전하게 상품을 받아볼수 있었어요.가게에 비치해 두었는데 사용할일은 없어야겠지만 정말 필요할때는 큰 도움이 될듯합니다. 가정집에도 비치해둬야 겠어요.,5
77,좋아요ㅠ잘쓰고닛어요,4
78,귀욥네요 사각팬티사고 맘에 들어서 삼각도 구매해 봐요 사각에 비해 여유가 있지만 크거나 하진 않아요 잘 입힐게요,5
79,손등에 발라봤는데 발림성도 좋네요 계속 발라봐야겠어요,5
80,재구매 이번이 두번째 구매에요 근데 팩에 적혀 있는 수치가 안맞아서 양조절이 힘들어요,5
81,피곤이 훨씬 덜 합니다.,5
82,조링하는데는 쉽게했는데오ㅡ. 야간힘이 없어서 요름이불정도는 가볍게 늘수가있을것같은데요. 겨울이불 늘기에는 힘이없어요.,2
83,배송은 괜찮은데 배터리 갈고부터 핸폰 에러가 잘 떠서 그저 그래요,2
84,가성비좋긴한데 왜 까진게와서 ㅡㅡ,2
85,고장 없이 잘 되네요,5
86,재구매 다음부터는 5만원정도 이상이면 배달비무료면 좋겠어요,5
87,예쁘고 조그많고좋아요,5
88,재구매 좋은쌀 잘받았습니다 잘먹을게요,4
89,얇은 라인 그릴때 굿,5
90,별 1개도 아까운 부실함. 덜렁덜렁대고 픽 쓰러지고 갖다 버리고 싶은데 스티커 붙여야되서 쳐박아두는중,1
91,아직 사용 전인데 전에 사용하던 거랑 비슷한데 음식물 쓰레기랑 함께 버릴 수 있다고 해서 샀어요 좋으면 다 사용하고 또 사겠습니다 사탕이랑 비타민 감사합니다!,5
92,브런치베베 솔드아웃 되서 미니미 샀는데 핑크랑도트 패턴 깔끔해요 딸기우유 핑크고요^^ 단추걸이고요 배송도빨랐어요,5
93,ㅇ뭄루느를ㄴㄹ는흔하,1
94,재구매 항상 배송도 빠르고 물건도 파손없고 만족합니다~!,5
95,넘 좋으네요. 먹기 편하고 효과도 있는 것 같고요~~,5
96,좋은 가격에 좋은 상품입니다.,5
97,쿠션솜...소재를 잘 알아보고 시킬걸..후회했습니다..지퍼 여는데 바로 뜯어졌네요..그리고 겉으로 솜가닥?이 계속 빠져나오고 거칠거칠하고 따갑습니다...,1
98,마무리처리도 깔끔하고 스티커로 붙이는거라 편해요,5
99,"배송도빠르고 잘 도착했어요 조금 더 저렵한 다른 화사 제품써봤는데 이 회사 제품이 복원력, 탄력이 더 우수해서 다시 구입합니다.",5
100,살다살다 이런상태로 물건보내는거처음보내요. 어이가없어서 사진첨부합니다. 죄다터졌어요. 봉지가터질것같으면 좀더 꼼꼼검수를하시지..검수하시는분도안계시고 그냥막담았나봐요?,1
101,배송이 너무 늦었어요 배송이 너무 늦어서 불만족입니다 ㅠ 옷은 사진과 그대로예요 근데 좀 길어서 오센치정도 줄일까해요,2
102,온날 손님 초대해서 먹는데 전체적으로 내장에서 신맛이나네요 저도 손님들도 결국엔 다 먹지도 못했네요ㅠㅠ 아까워서 혼났어요 오징어 통찜 사먹고 되게 맛있었던 기억이있어서 주문한건데 실패네요 먹는건 이래서 인터넨 주문하면 안된다 하는건가봐요ㅠㅠ,1
103,의자에 연결되는 부직포 끈이 너무 짧고 잘 떨어져요 앉을때 마다 떨어져서 불편해요,2
104,논슬립이 아니예요.....ㅠㅠ 저 주황색 부분이 그냥 플라스틱이예요. ㅠㅠ 너무 어이없네요..,1
105,물건이 잘못왔습니다. 제가주문한건 A3000u 인데 A3000ua 가왔스빈다. 일단 바로써야하기때문에...가격이나 성능 면에서 비슷한거같아서 반품안하고 그냥사용합니다.,2
106,생각보다 실제로 보니 더 괜찮네요 잘쓰겠습니다,5
107,"다신안사고 안할래요~! 몇개더사놨는데 미련없이 쳐박아두고, 바로 필름으로 다시시켜 부착.",2
108,풀도 넉넉히 꼼꼼하게 잘 발라져 있고 만족합니다,4
109,소비자 놀림? 배송도 엉망이고 새조개 상태는 그야말로 최악에 품질로 고무씹는듯하고 짜증나서 샤브샤브 먹다 버렸습니다 어처구니 없는 제품입니다 가족들과 타지역 가서 엉망인 식당가서 한끼 비싸게 먹었다 생가하렵니다 구정연휴만 않꼈어도 반품처리 했을겁니다,2
110,아이폰 처음 쓰는데 항상 쓸때마다 떨어뜨리면 깨질거 같아서 걱정해서 구입했는데 안심되네요,5
111,다 익어서 왔어요..날도 더운데 아이스팩좀 많이 넣어주시지..ㅠ,1
112,"빠른배송감사합니다 너무이뻐요 데일리로,매일 착용할것같아요",5
113,"옵션을 잘해주셔서 구입하기 편했습니다 주시는 망치는 사용하기가 쫌 ,,,",5
114,깔끔하고 좋아요 실밥이 하나 튀어나온게 있어서 쪽가위로 정리하긴 했는데 저렴하게 구매 했으니 괜찮아요 선물할거라서 박스포장 부탁드렸는데 친절하게 응대 해 주셔서 감사했습니다~,5
115,눈에띄는 효과는 잘 모르겠지만 열심히 먹고있어요,5
116,노트북이 계속 미끄러 불안해서 못 쓰겠네요 ㅡㅡ,1
117,"의자가 필요해서 두개주문했지만, 오자마자 풀어보고 다리 발란스가 안맞는지 약간씩 기우뚱거리네요. 하루 앉아서 활동하고 이틀째인 오늘 역시 약간씩 흔들거리네요.",2
118,"재구매 배송이 항상 3일ㅡ4일이면 오더니, 이번에는 일주일 넘게 걸리더라구요. 감안하셔서 주문해야지 긴장안합니다.",1
119,탄탄하니 싼티안나고 좋네요^^,5
120,좋아요~ 조리대 600상판 주문했어요~~ 쿡탑 밑에 들어가있는데 생각보다 수납도 많이되고 좋네요~~잘쓸께요~~ 감사합니다~~~,4
121,배송도 빠르고 눈썹은 괜찮은데 글로가 정말 별로네요ㅜ,1
122,잠수함은 별루에요 잘 보이지도 않고 거의 안보여요,2
123,중 자를 시켰는데 소자가 왔네요 반품하기 귀찮아서 그냥 저냥 써요,1
124,가격좋고 만족해요 많이 파세요,5
125,통화도 잘 안되고 진짜 별로에요.....,1
126,별점 1점이 최 하인가요.. 나사구멍이 전혀안맞네요 문의를 했더니 위치조정 필요하다..? 정도껏 조정해야지 성인남성 거기다 운동을 하는 남성도 땀흘려가면서 조립을 해야합니다 손 바들바들 떨어가면서요 싸고 비싼덴 이유가 있다는말이 틀리지않네요,1
127,브라운은 색상이 브라운이 아니라 완전 카키네요 ;;;,2
128,하얀색 일회용 마스크는 역쉬 중국산. 생산공정이 정말 믿을 수 없어 일광욕 시키고 아직 사용하자 않고 있다. 국산이야 믿고 사용하지만 폭등하는 가격 때문에 할 수 없이 구매하였는데 ... 일회용으로 새기고 쓰야지.,2
129,이쁘네요이가격에 배송참빠르네요하루만에왓어요,5
130,하금테 안경 블랙실버 구매하고 어머니껏도 구매했어요. 쵸코브라운으로요. 제일 이쁜건 블랙실버인데 쵸코브라운도 이뻐요. 뭐 구매해야할지 고민이신분은 블랙실버를 추천합니다. 후회안심,5
131,완죠니 귀여워여 쪼금 큰데 그래도 조아여,5
132,별로에요 머리가고정이안되요,1
133,3키로 포메성견인데 젤잘은 에스사이즈인데도 불구하고 입에비해 넘 크기가 큼... 씻기 불편하고... 일단 크기기 젤 문제임 좀 더 작은 사이즈면 좋겠어요,1
134,가격대비 쓸만한거같아여,5
135,사이즈 좋고 깊이도 선택이 가능해서 좋았어요 .,5
136,크기가 생각보다 많이커서 수납을 다양하게 할 수 있어서 좋은 것 같아요.,4
137,잘 쓰고 있습니다 . 옷도 많이 걸수 있고 좋네요 .,4
138,재구매 잘먹을거요 많이 파세요,2
139,예뻐요~~예쁜 핑크색입니다~^^,5
140,한패드 한패드 따로 포장이 좋았구요~ 유두가 순면에 닿는 느낌이라 좋네요^^!!,5
141,배송 비닐에 구멍이 난채로 왔고 바지 사이즈도 뭐 썩 잘 맞는거 같진않지만 반품이 번거러워서 그냥입네요,2
142,싼거 사기 싫었는데 상품도 별로 없길래 여기꺼 샀는데 배송도 겁나 별로에 똑같은 거 두개 시켰는데 길이랑 폭도 각자 다르고 망사도 뻣뻣해서 잘 닫히지 않는다. 이제껏 써 본 제품 중 젤 그지같음.,1
143,배송은 빨랐는데 프레임이 휘어진 곳이 몇군데 있고 스크레치도 군데 군데 많네요 반품하는데 시간도 걸리고 사용상 큰문제는 없어서 그냥 쓸께요.,2
144,냄새나고 표면 거칠거칠합니다,1
145,싼거고 자시고 다떠나서 세개샀는데 다 얼룩이있어요,1
146,카드만 들어있는줄 모르고 잘못시켰네요..,1
147,좋아요 할로윈때 잘 썻어요,5
148,너무 잘 떨어져요ㅡㅡ 붙히자 마자,2
149,그냥 비싼거사세요ㅋㅋ,2
150,실제 보고 인터넷으로 구매한건데 정품이 아닌건지 유난히 가방이 가로가 길어요;; 여자가 들기엔 안예쁜것 같아요. 남자 운동 가방으로 그나마 쓸것같네요....,1
151,시트 비닐가죽이 벌써 찢어졌어요 너무 얇고 정말 안 좋습니다,2
152,유통기한이 좀 빡세지만.. 그리고 빨대도 깨져있었지만 워낙 좋아하는 음료라 . 잘 마시겠습니다.,5
153,가성비 짱입니다!! 이런 시계줄 없습니다!!!^^,5
154,px에있는 로카티 제질하고 달라요,2
155,생각보다 넘나 큼 ㅠ 잘 잡아주지도 못하 뮤,2
156,"좋았습니다,좋았습니다",2
157,가격에 비해 양이 어마무지하네요~국물도 뽀얗게 잘 우려나오고.....,5
158,배송부분과 서비스에 최악입니다.,1
159,아침에 씻으러 들어갈 때 참 잘 샀다고 느낍니다,5
160,주문할때 부터 친절하게 설명다해주시고~ 커텐에 냄새도 하나도 안나고~ 예쁜건 두 말하면 잔소리구요ㅎㅎ 완전 만족만족 대만족 입니다!! 감사합니다^^,5
161,조립했는데 뭔가 좀...엉성한 느낌입니다 튼튼하지는 않아요,2
162,상품이 잘 포장되서 왔어요.,4
163,쌀알이 너무작아요,2
164,100% 마카인줄 알았는데 아니네요.,2
165,매우불만족! 두번째 구입합니다. 7개씩 두개를 주문했는데 엿먹으라고 14개로 한번에 보내는건가요? ㅡㅡ?,2
166,12월9일에주문해서 어제받았어요 승질급한사람절대못기다리죠 보기와달리 작아요,1
167,재구매 가격이 비싸요 믿고구매했늠데,1
168,진짜 엄청 덜덜거리네요 균형도 살짝 기울어져있고 조립을 잘못했나 거슬려서 쓰기 힘드네요,1
169,아직 시간이 지나봐야 알지만 좋은 듯 해요,4
170,깨져서옴....,2
171,너무좋아요 다음에도 살게요!,5
172,썬팩트 사용후 세안하려고 구매했습니다.,4
173,예쁘네요. 모양이 조금 삐뚤어져있긴하지만ㅠ 그래도 싼티안나고 고급져요. 만족입니다. 욕실앞 수건바구니로 사용하려고샀어요. 담에 또 이용할께용 :),5
174,잘안되서 버렸어요...,2
175,앞서 남긴 후기와 같습니다.,4
176,저희 집 화장실은 폭이 좁아 사용 못해서 친정에 드려야될 것 같아요 사이즈 꼭 체크하세요ㅠ,2
177,생각보다 말랑말랑함,4
178,늦게 받기는했지만 제품은 만족합니다,4
179,길이에 비례하게 줄을 더 길게 해주셨으면 좋았을텐데... 줄 길이도 옵션에 포함되어 있으면 좋았을텐데... 2% 부족하게 구매했습니다. 줄길이도 설명에 포함되었으면 합니다.,2
180,이런 모양으로생겼네요,5
181,딱 원하던 쿠션감과 두께 입니다,5
182,색깔너무예뻐요. 배송은좀늦었지만 다행히 지금입기괜찮아요,5
183,오징어 구워 먹고 싶어 샀는데 괜찬네요,5
184,칸막이가 분리되면 좋겠습니다,2
185,처음 사본 제품이에요. 잘 쓰겠습니다,5
186,배송은 빠른데 포장상태가 ㅡㅡ,2
187,받고 냄새 많이 난다고해서 행사때 쓰기전까지 박스 열어두니 괜찮더라구요 재밌어하더라구^^,4
188,재구매 진하고 맛있어요 가격만 부담없으면 자주 주문하고 싶어요~,4
189,일단 상품은 좋지 못해요 버튼도 확인 안되서 as전화하니 남직원이 불친절 하네요 돈 좀 더주고 좋은걸로 구입하세요,1
190,재구매 배송이빨랐어요 연근.다시마.우엉등은건강한먹거리면서쉽게손에닿지않은데 애들하고부모님이한봉지뚝딱하니 고른보람이있네요,5
191,터치감이 아주 좋아요,5
192,색이 붉은빛이 많고 씨가 굵고 맛이 없어요. 재구매의사없습니다.,2
193,끈적거리기는 끈적거리는데 접착력이 영 좋지 않았습니다.,2
194,제품이 다 녹아서 완전 흐물흐물해요. 재 냉동 하면 완전 떡될것같아서 바로 다 써야하네요..ㅠ,1
195,가벼워요@@!@,5
196,박스 종이 상자는 좀 오래되면 냄새도 나고 습기차고 그러는데 플라스틱재질이라서 종이상자보다 훨씬 더 좋은 것 같습니다.,5
197,냄비처럼 생긴 종지는 넘 이뻐서 만족하구요 앞접시로 쓸 그릇은 생각보다 너무 작아서 아쉬웠어요,2
198,분명 ad실내등 주문했는데 md실내등으로 왔네요 뜯고 작업할려니 뭐가안맞아서 보니 md용이더라구요 뜯어가지고 교환도 안될거라 짜증엄청나네요 좀 주문확인좀 제대로하고 보내주시죠,1
199,잘 받았습니다. 배송 빠르고 맛있습니다,5
200,제가 신청했던 사이즈랑 전혀 다른 사이즈가 왔내요 개판이네요 .,1
201,끝이 정교하지못하네요 벌써3개교체했어요,2
202,생각보다 묵직하네용 ㅎㅎ 잘받았어영 ㅎㅎ,4
203,싸게 잘구입했다 생각해서 재구매했는데 쿠팡이 더싼건 뭐지..,2
204,좀 짜요 별로에요 다음엔 안 짠 메뉴로 먹을래요,2
205,그닥 도움이 되지 않고 착용이 불편하네요.,1
206,콜린성 두드러기에 효과봤다는 후기를보고 구매했는데 우리아이한텐 맞지않나봅니다 아무런 효과가 없네요,1
207,재구매 꽝꽝얼려진 상태로 잘~ 배송되었습니다!!!! 청 한가득 만들었습니다!!!,5
208,굿좋아요 아주튼튼함,5
209,배송진짜느려요 같은날 주문한 상품들 뜯어서 사용하고 한참후에야 받았네요. 배송포장도 구멍나서 안쪽으로 이물질도 상당히 들어가있었구요.안쪽에 주머니 없어서 실용성은 좋지 않습니다.,2
210,늘 쓰던 제품이에요. 여전히 좋습니다.,5
211,높낮이 조절하다가 스프링강도가 너무쌔서 손이껴서 다첬습니다,2
212,맛있어요~아이들도 맛있대요~ 재구매 의사 있어요~,5
213,가격대비 좋습니다. 가격대비 제품은 좋은거 같습니다. 조금 아쉬웠던건 서랍장안에 찍힌곳이 몇군데 있는거빼곤 맘에듭니다.,4
214,좋아요 조아요 조아요,2
215,사진처럼 깔끔한 디자인 맘에 들어요ㅎ,4
216,마스크팩 붙이는것보다 한번 뿌리기만해도 팩이되니 너무 편하고 좋아요,5
217,재구매 좋아서 항상 재구매해서 마시고 있습니다.,5
218,좀 누지네가 나네요,4
219,"안전하게 배송받았습니다,",5
220,결제하고 받기까지 일주일걸렸어요 주말하고 공휴일 있다고해도 너무 느림..,2
221,먹기도 불편하고 효과도 없고 물이랑 마시면 **만 하고 속이 허하네요,1
222,가격에선 만족하나.. 에어프라이기에 사용하면 자꾸 말리네요 ㅠㅠ,2
223,가끔 이용해야겠어요,5
224,불만 매우,2
225,베이지는 정말 유니크한거 같아요. 슬림하며 베이지이기 때문에 심하게 섹시해 보이네요^^,5
226,좋아요 식구대로 다른 색상 선택했어요 따띗한 물로 헹구기만 해도 깨끗이 닦이고요 양쪽 날개 접어서 가볍게 비비면 세척 끝입니다,4
227,"배송빠르게 잘 받았습니다! 쫀쫀할줄알았는데, 그냥 스판기가 아예없네요 후크 때문에 살이 좀 슬려서 거슬려요ㅜㅜ",5
228,재구매 우리가족 잠옷으로 구입해서 잘 입고있는데 외할머니 선물로 또 구입했어요 너무 이쁘고 너무 좋아하십니다 아주 만족합니다,5
229,선물용ㅇ으로 샀는데 좋아해요,5
230,무거워서 둘이 들던 테이블 이제 혼자 끌 수 있어 좋아요,5
231,별로 싸긴 해도 보통 상장 용지라는 설명에 대량이라 저렴한건가 보다 했어요. ㅜㅜ 근데 상장... 보통 두께가 어떤지 모르시는 분이 쓰셨나욤. ㅜㅜ 이렇게 얇은 상장이 어딨습니꽈아~~~~ ㅜㅜ,2
232,밴드가 짧고 약해서 설치불가,1
233,가성비가 좋습니다. 색이 이뻐요.,5
234,아 이번에 실패네요,2
235,별 다른 효과가 없어요 발색이 잘 안되요,2
236,다이아몬즈 모냥을 시켰건만 카이트??? 그 모양이 왔네요 원한 모양은 아니지만 시간이 없는 관계로 그냥 씁니다,2
237,오염되서 왔어요. 흰색이 아니라 군데군데 붉은 점들이 있더군요... 교환 하기 귀찮아서 그냥 가집니다..,2
238,중국어로 메뉴얼잇네요,2
239,너무 싱싱한 꽃을 저렴한 가격에 받을수 있다니~~너무좋아요,2
240,오른쪽 이어폰은 케이스에서 빼면 자동으로 전원안켜지는현상 있음. 귀찮아서 그냥쓰기로함.,2
241,막걸린데도 우유넘기듯 목넘김이 좋습니다,4
242,재구매 디자인이며 견고함 모두 좋아요 저흰 회사에서 4개나 주문했어요 다만 폭이 좀 좁은게 흠이라면 흠...,4
243,개인별로 효과 차이는 있겠지만 저는 효과기 없었네요,2
244,옵션추가해서 LED불들어오는걸로구매했는데 불량이네요.,2
245,재구매 역시 꼴레지앙ㅋ 애기들이 신으면 너무너무 귀여워요,5
246,발색도 잘돼고 좋아요,5
247,소매가 칠부길이정도네요 냄새가 심해요,2
248,철심이 들어있어서 가슴밑부분이 아파요,1
249,접시가 너무 딱딱해요,2
250,곽티슈인줄....,2
251,탱글티저 처음 써보는데 괜히 유명한 게 아니네요 반곱슬에 숱도 많고 잘 엉키는 머리라 머리 빗을 때마다 아팠는데 탱글티저는 힘 안 들이고 안 아프게 술술 잘 빗겨요,5
252,재구매 몇년째 먹고있는거 같아요 이만한 두유가 업습니다,5
253,가성비가 좋았었던 점에 높은 점수 주고 싶습니다,5
254,매장에서 사이즈가 없어서 여기서 구매했어요 배송도 많이 늦지않게 잘 받았슴다,5
255,불편하고 과하게 잘떨어져요,2
256,배송이 빠르고 저렴한 가격에 구입을 하였습니다. 구매평을 보고 구입을 하였으며 재구매 하겠습니다. 감사합니다,4
257,잘 받았는데 시간이 너무 오래걸렸네요,1
258,오래전부터 현미.현미찹쌀.흑미.기타잡곡.콩 이렇게먹는데 여기쌀 괘아나요. 촉촉하니 백미에는 없는 고소함때문에 너무 좋아요. 앞으로도 좋은쌀 부탁해요,5
259,깨져오고 사지마세요 급해서어쩔수없지만 너무허네요 사지마세요,1
260,앞에 설명과 같습니다~! 홑겹이불은 좀 얇은편이라 여름에도 이불이 꼭 필요해! 하시는 분들은 별로 안좋아하실수도 있을거 같아요~ 하지만 통풍이 잘되는 큰 장점 덕분에 한여름에 찰떡템이었습니다~~!!,4
261,향이 너무 좋나요 꾸준히 사용할거에요,5
262,뽁뽁이 기사님이 엉뚱한데 두고 갔지만 하루만에 다시 와서 감사,4
263,쓰기가 불편해요 버튼도 헤갈리고 실망 스럽네ㅇᆢㄷ,1
264,상품평이 좋아서 샀는데 품질은 가격 만큼이네요 허리를 지지하는곳이 플라스틱이다보니 좌우로 흐느적 거립니다. 솔직히 불편하네요,2
265,배송도 빠르고 가격도 좋게 샀어요,5
266,예전보단 푹신함이 좀 덜한것같아요,2
267,두번째구매요 싸고 편해요~,5
268,한달 정도 사용한거 같은데 갑자기 가려워서 긁어보다가 확인해보니 패드닿는 부위만 두드러기같은게 났네요 피부과 다녀와봐야될꺼같아요,1
269,온가족이 맛있게 먹었습니다. 너무 맛있어서 추가 주문하였습니다.,5
270,재구매 이번엔 눈이 많이 따갑더라구요ㅠ,2
271,항상쓰는거에요^^ 온가족 다 빅쏘꺼써요 가격도 저렴하고 테두리가 곡선으로 되있어서 아주 잘쓰고있어요👍👍 이번에 아이촌11pro 구입해서 바로 네개 질렀어요 잘쓸게용^^ 번창하세요,5
272,재구매 다른 물건으로 왔는데 운영자님 말씀과는 달리 수량이 달라서 실망했어요 반송이 귀찮아서 그냥 사용합니다,1
273,빠른배송 감사해요~^^*,5
274,밝기 솔직히 에바임;; 너무 어두워요,2
275,다우니 너무 좋아요. 향이 진짜 너무 좋아서 이것만 써요. 재구매 의사 100%,5
276,생각보다 크고 싸구려 제질이네여 ㅜ,2
277,건강해지는느낌. 티빕ㅎ고 구매햇어요!!,5
278,좋은 것 같아요. 효과가 눈에 띄게 있진 않지만 있긴 있는 것 같아요.,5
279,느끼합니다,2
280,물이 많이 들어오고 호흡이 힘들어요ㅜㅜ,2
281,착색이되어서 어찌해야할지고민이네요,2
282,사진으로 본것보다 훨씬 예쁘뻐요 은침이라 알러지 없이 잘 착용하고있어요 😍😍😍,5
283,가격도 착하고 배송도 빨리 왓어요~ 좋아요,5
284,싸게 잘 샀어여....출출할때 먹으면 딱임^^,5
285,좋아요 킹사이즈 침대에 ss사이즈크기로 샀어요 딱 맞는게 좋아서 그렇게샀는데 오늘 세탁하기전에 살짝 깔아보니가 예쁘게 딱 맞아요 ^^,5
286,블랙박스 처리가 애매합니다. 블랙박스를 덮어 버려서 주차시 발생되는 사고는??,2
